# Produced by plumchk Version of Sep 19 2023 15:38:43 2d70be83 Linux DEBUG on 19/09/2023 15:44:33
# By merging PA01_200.dat and agora_200.dat
#  scenario1 PA01_200.dat mets1 2022 reactions1 2877 scenario2 agora_200.dat mets2 4137 reactions2 9250 scen1_repeats 0 scen2_repeats 320 same_count 2876 rev_count 0 dropped 3197 same_diff_count 1 diff_same_count 27 build 2d70be83
MET M_10dmthmcn_c "10-Deoxymethymycin"
MET M_10fdhf_c "10-Formyldihydrofolate"
MET M_10fthf5glu_c "10-formyltetrahydrofolate-[Glu](5)"
MET M_10fthf_c "10-Formyltetrahydrofolate"
MET M_10m3hddcaACP_c "10-methyl-3-hydroxy-dodecanoyl-ACP"
MET M_10m3hundecACP_c "10-methyl-3-hydroxy-undecanoyl-ACP"
MET M_10m3oddcaACP_c "10-methyl-3-oxo-dodecanoyl-ACP"
MET M_10m3oundecACP_c "10-methyl-3-oxo-undecanoyl-ACP"
MET M_10mddcaACP_c "10-methyl-dodecanoyl-ACP"
MET M_10mtddec2eACP_c "10-methyl-trans-dodec-2-enoyl-ACP"
MET M_10mtundec2eACP_c "10-methyl-trans-undec-2-enoyl-ACP"
MET M_10mundecACP_c "10-methyl-undecanoyl-ACP"
MET M_11m3hddcaACP_c "11-methyl-3-hydroxy-dodecanoyl-ACP"
MET M_11m3oddcaACP_c "11-methyl-3-oxo-dodecanoyl-ACP"
MET M_11mddcaACP_c "11-methyl-dodecanoyl-ACP"
MET M_11mtddec2eACP_c "11-methyl-trans-dodec-2-enoyl-ACP"
MET M_12daihdglyc_c "1,2-Dianteisoheptadecanoyl-sn-glycerol"
MET M_12daipdglyc_c "1,2-Dianteisopentadecanoyl-sn-glycerol"
MET M_12dgr120_c "1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)"
MET M_12dgr140_c "1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)"
MET M_12dgr141_c "1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)"
MET M_12dgr160_c "1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)"
MET M_12dgr161_c "1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)"
MET M_12dgr180_c "1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
MET M_12dgr181_c "1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)"
MET M_12dihdglyc_c "1,2-Diisoheptadecanoyl-sn-glycerol"
MET M_12dipdglyc_c "1,2-Diisopentadecanoyl-sn-glycerol"
MET M_12ditdglyc_c "1,2-Diisotetradecanoyl-sn-glycerol"
MET M_12dixdglyc_c "1,2-Diisohexadecanoyl-sn-glycerol"
MET M_12m3hmyrsACP_c "12-methyl-3-hydroxy-tetra-decanoyl-ACP"
MET M_12m3htridecACP_c "12-methyl-3-hydroxy-tridecanoyl-ACP"
MET M_12m3omyrsACP_c "12-methyl-3-oxo-tetra-decanoyl-ACP"
MET M_12m3otridecACP_c "12-methyl-3-oxo-tridecanoyl-ACP"
MET M_12mmyrsACP_c "12-methyl-tetra-decanoyl-ACP"
MET M_12mtmrs2eACP_c "12-methyl-trans-tetra-dec-2-enoyl-ACP"
MET M_12mtridecACP_c "12-methyl-tridecanoyl-ACP"
MET M_12mttritec2eACP_c "12-methyl-trans-tridec-2-enoyl-ACP"
MET M_13dampp_c "trimethylenediaminium"
MET M_13dpg_c "3-Phospho-D-glyceroyl phosphate"
MET M_13m3hmyrsACP_c "13-methyl-3-hydroxy-tetra-decanoyl-ACP"
MET M_13m3omyrsACP_c "13-methyl-3-oxo-tetra-decanoyl-ACP"
MET M_13mmyrsACP_c "13-methyl-tetra-decanoyl-ACP"
MET M_13mtmrs2eACP_c "13-methyl-trans-tetra-dec-2-enoyl-ACP"
MET M_13shpoddnt_c "13S-Hydroperoxy-9Z,11E-octadecadienoic acid"
MET M_14m3hpalmACP_c "14-methyl-3-hydroxy-hexa-decanoyl-ACP"
MET M_14m3hpentdecACP_c "14-methyl-3-hydroxy-pentadecanoyl-ACP"
MET M_14m3opalmACP_c "14-methyl-3-oxo-hexa-decanoyl-ACP"
MET M_14m3opentdecACP_c "14-methyl-3-oxo-pentadecanoyl-ACP"
MET M_14mpalmACP_c "14-methyl-hexa-decanoyl-ACP"
MET M_14mpentdecACP_c "14-methyl-pentadecanoyl-ACP"
MET M_14mtpalm2eACP_c "14-methyl-trans-hexa-dec-2-enoyl-ACP"
MET M_14mtpentdec2eACP_c "14-methyl-trans-pentadec-2-enoyl-ACP"
MET M_15HPET_c "15(S)-HPETE(1-)"
MET M_15dap_c "1,5-Diaminopentane"
MET M_15dap_e "1,5-Diaminopentane"
MET M_15dap_p "1,5-Diaminopentane"
MET M_15m3hpalmACP_c "15-methyl-3-hydroxy-hexa-decanoyl-ACP"
MET M_15m3opalmACP_c "15-methyl-3-oxo-hexa-decanoyl-ACP"
MET M_15mpalmACP_c "15-methyl-hexa-decanoyl-ACP"
MET M_15mtpalm2eACP_c "15-methyl-trans-hexa-dec-2-enoyl-ACP"
MET M_16mo23dh3htsn_c "16-Methoxy-2,3-dihydro-3-hydroxytabersonine"
MET M_1agpe120_c "1-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)"
MET M_1agpe140_c "1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)"
MET M_1agpe141_c "1-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)"
MET M_1agpe160_c "1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)"
MET M_1agpe161_c "1-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)"
MET M_1agpe180_c "1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)"
MET M_1agpe181_c "1-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)"
MET M_1agpg120_c "1-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)"
MET M_1agpg140_c "1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)"
MET M_1agpg141_c "1-Acyl-sn-glycero-3-phosphoglycerol (n-C14:1)"
MET M_1agpg160_c "1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:0)"
MET M_1agpg161_c "1-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1)"
MET M_1agpg180_c "1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)"
MET M_1agpg181_c "1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)"
MET M_1aihpdecg3p_c "1-anteisoheptadecanoyl-sn-glycerol 3-phosphate (14-methyl-hexadecanoyl, anteiso-C17)"
MET M_1aipdecg3p_c "1-anteisopentadecanoyl-sn-glycerol 3-phosphate (12-methyl-tetradecanoyl, anteiso-C15)"
MET M_1ddecg3p_c "1-acyl-sn-glycerol 3-phosphate(2-)"
MET M_1fbfrctsylsucr_c "1F-beta-D-Fructosylsucrose"
MET M_1h2npt_c "1-Hydroxy-2-naphthoate"
MET M_1hdec9eg3p_c "1-hexadec-9-enoyl-sn-glycerol 3-phosphate"
MET M_1hdecg3p_c "1-hexadecanoyl-sn-glycerol 3-phosphate"
MET M_1hmnp_c "1-Hydroxymethylnaphthalene"
MET M_1hnpaldh_c "1-Hydroxy-2-naphthaldehyde"
MET M_1ihdecg3p_c "1-isohexadecanoyl-sn-glycerol 3-phosphate (14-methyl-pentadecanoyl, iso-C16)"
MET M_1ihpdecg3p_c "1-isoheptadecanoyl-sn-glycerol 3-phosphate (15-methyl-hexadecanoyl, iso-C17)"
MET M_1ipdecg3p_c "1-isopentadecanoyl-sn-glycerol 3-phosphate (13-methyl-tetradecanoyl, iso-C15)"
MET M_1itdecg3p_c "1-isotetradecanoyl-sn-glycerol 3-phosphate (12-methyl-tridecanoyl, iso-C14)"
MET M_1naldh_c "1-Naphthaldehyde"
MET M_1odec11eg3p_c "1-octadec-11-enoyl-sn-glycerol 3-phosphate"
MET M_1odecg3p_c "1-octadecanoyl-sn-glycerol 3-phosphate"
MET M_1oh_c "Primary alcohol"
MET M_1p2cbxl_c "1-pyrroline-2-carboxylate"
MET M_1p3h5c_c "L-1-Pyrroline-3-hydroxy-5-carboxylate"
MET M_1p4h2cbxl_c "1-Pyrroline-4-hydroxy-2-carboxylate"
MET M_1pipdn2c_c "1-piperideine-2-carboxylate"
MET M_1pyr5c_c "1-Pyrroline-5-carboxylate"
MET M_1tdec7eg3p_c "1-tetradec-7-enoyl-sn-glycerol 3-phosphate"
MET M_1tdecg3p_c "1-tetradecanoyl-sn-glycerol 3-phosphate"
MET M_23ddhb_c "2,3-Dihydro-2,3-dihydroxybenzoate"
MET M_23dhdp_c "2,3-Dihydrodipicolinate"
MET M_23dhmb_c "(R)-2,3-Dihydroxy-3-methylbutanoate"
MET M_23dhmp_c "(R)-2,3-Dihydroxy-3-methylpentanoate"
MET M_23dmthmlet_c "2,3-Dimethylmaleate"
MET M_23dpg_c "2,3-bisphosphonato-D-glycerate(5-)"
MET M_24dchlphe_c "2,4-Dichlorophenol"
MET M_24dhacphn_c "2,4-Dihydroxyacetophenone"
MET M_24dhhed_c "2,4-Dihydroxyhept-2-enedioate"
MET M_24mcartnl_c "24-Methylenecycloartanol"
MET M_25aics_c "(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate"
MET M_25d5o2a_c "Muconolactone"
MET M_25dahxnt_c "2,5-Diaminohexanoate"
MET M_25dhpp_c "2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine"
MET M_25dop_c "2,5-Dioxopentanoate"
MET M_25drapp_c "2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5-phosphate"
MET M_26dap_LL_c "LL-2,6-Diaminoheptanedioate"
MET M_26dap_M_c "meso-2,6-Diaminoheptanedioate"
MET M_2a5faprap_c "2-Amino-5-formylamino-6-(5-phosphoribosylamino)pyrimidin-4(3H)-one"
MET M_2aasng3p_c "2-Acetyl-1-alkyl-sn-glycero-3-phosphate"
