R_2OH_CBZ_GLC_GLCAASEe 11.0035
R_2OH_CBZ_GLC_GLCAASEepp 8.2309
R_2OH_CBZ_GLCabc 11.0035
R_2OH_CBZ_GLCt 11.0035
R_2OH_CBZ_GLCt2 11.0035
R_2OH_CBZ_GLCt2pp 7.75328
R_2OH_CBZ_GLCtex 7.75328
R_2OH_CBZte 11.0035
R_2OH_CBZtepp 7.75328
R_2OH_CBZtex 7.75328
R_2OH_MTZ_GLC_GLCAASE 7.75328
R_2OH_MTZ_GLC_GLCAASEe 11.0035
R_2OH_MTZ_GLC_GLCAASEepp 8.2309
R_2OH_MTZ_GLCabc 11.0035
R_2OH_MTZ_GLCt 11.0035
R_2OH_MTZ_GLCt2 11.0035
R_2OH_MTZ_GLCt2pp 7.75328
R_2OH_MTZ_GLCtex 7.75328
R_2OH_MTZte 11.0035
R_2OH_MTZtepp 7.75328
R_2OH_MTZtex 7.75328
R_2OMFUCtex 8.2309
R_2OMMBOX 1.15001
R_2OMPHH 1.1
R_2OMXYLtex 8.2309
R_2OSAHL 8.2309
R_2OXOADOX 1.79315
R_2PPOHt2r 11.0035
R_2RCDHOFAL 1.59532
R_2S6HCC 1.12532
R_33HPHACt2r 11.0035
R_33HPHACt2rpp 1.17411
R_34DCCBR 1.1
R_34DHOXPEGOX 1.22063
R_34DHPHAt2r 11.0035
R_34DHPHAt2rpp 1.1
R_34DHPHAtex 1.1
R_34DHPHEt2 11.0035
R_34DHPHEt2pp 3.34831
R_34DHPHEtex 1.57957
R_34HPPDC 11.0035
R_34HPPOR 1.12532
R_34HPPORdc 1.79315
R_35DACAPDH 11.0035
R_36DAHXI 11.0035
R_37DMXOR 8.22832
R_3ABUTCOAL 1.42542
R_3BHYDANOR 11.0035
R_3BTCOAI 11.0035
R_3CALACL 8.22758
R_3CARLPDH 1.1
R_3CLCOR 8.2309
R_3DDLHEPTtex 8.2309
R_3DGUR 7.62415
R_3DHCDCHOLtex 11.0035
R_3DHCHOLtex 11.0035
R_3FBZOR 8.20364
R_3FBZTOR 8.20364
R_3FCHDCOR 7.7509
R_3FCHLOR 1.22063
R_3HACOAOR 1.22063
R_3HACPR1 1.19764
R_3HACPR2 1.19764
R_3HAD100 1.1
R_3HAD10M11 1.79315
R_3HAD10M12 1.1
R_3HAD11M12 1.1
R_3HAD120 1.1
R_3HAD121 1.79315
R_3HAD12M13 1.79315
R_3HAD12M14 1.1
R_3HAD13M14 1.1
R_3HAD140 1.1
R_3HAD141 1.79315
R_3HAD14M15 1.79315
R_3HAD14M16 1.1
R_3HAD15M16 1.1
R_3HAD160 1.78024
R_3HAD161 1.79315
R_3HAD180 1.1
R_3HAD181 1.79315
R_3HAD40 1.1
R_3HAD4M5 1.79315
R_3HAD4M6 1.1
R_3HAD5M6 1.1
R_3HAD60 1.1
R_3HAD6M7 1.79315
R_3HAD6M8 1.1
R_3HAD7M8 1.1
R_3HAD80 1.1
R_3HAD8M10 1.1
R_3HAD8M9 1.79315
R_3HAD9M10 1.1
R_3HAO 3.39501
R_3HBBUTH 8.23016
R_3HBCD 11.0035
R_3HBCOAE 1.1
R_3HBCOAHL 1.1
R_3HBCOAOX 3.36412
R_3HCINNMH 3.34831
R_3HIBUPGLU_Sabc 11.0035
R_3HIBUPGLU_St 11.0035
R_3HIBUPGLU_St2 11.0035
R_3HIBUPGLU_St2pp 7.75328
R_3HIBUPGLU_Stex 7.75328
R_3HIBUP_S_GLCAASE 7.75328
R_3HIBUP_S_GLCAASEe 11.0035
R_3HIBUP_S_GLCAASEepp 8.2309
R_3HIBUP_Ste 11.0035
