# Created 3 Jul 2023 17:18:21 from Pseudomonas_aeruginosa_PAO1.xml
# Exclude:  EX/DM  EX reversals  non-reversible reactions
# Costs: ( gpa 1 no_gpa 5 ) + ( no_rev 0 rev 1 bad_rev 5 )
MET M_1agpg180_c	"1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0)"
MET M_1agpg181_c	"1-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1)"
MET M_1aihpdecg3p_c	"1-anteisoheptadecanoyl-sn-glycerol 3-phosphate (14-methyl-hexadecanoyl, anteiso-C17)"
MET M_1aipdecg3p_c	"1-anteisopentadecanoyl-sn-glycerol 3-phosphate (12-methyl-tetradecanoyl, anteiso-C15)"
MET M_1ddecg3p_c	"1-acyl-sn-glycerol 3-phosphate(2-)"
MET M_1fbfrctsylsucr_c	"1F-beta-D-Fructosylsucrose"
MET M_1h2npt_c	"1-Hydroxy-2-naphthoate"
MET M_1hdec9eg3p_c	"1-hexadec-9-enoyl-sn-glycerol 3-phosphate"
MET M_1hdecg3p_c	"1-hexadecanoyl-sn-glycerol 3-phosphate"
MET M_1hmnp_c	"1-Hydroxymethylnaphthalene"
MET M_1hnpaldh_c	"1-Hydroxy-2-naphthaldehyde"
MET M_1ihdecg3p_c	"1-isohexadecanoyl-sn-glycerol 3-phosphate (14-methyl-pentadecanoyl, iso-C16)"
MET M_1ihpdecg3p_c	"1-isoheptadecanoyl-sn-glycerol 3-phosphate (15-methyl-hexadecanoyl, iso-C17)"
MET M_1ipdecg3p_c	"1-isopentadecanoyl-sn-glycerol 3-phosphate (13-methyl-tetradecanoyl, iso-C15)"
MET M_1itdecg3p_c	"1-isotetradecanoyl-sn-glycerol 3-phosphate (12-methyl-tridecanoyl, iso-C14)"
MET M_1naldh_c	"1-Naphthaldehyde"
MET M_1odec11eg3p_c	"1-octadec-11-enoyl-sn-glycerol 3-phosphate"
MET M_1odecg3p_c	"1-octadecanoyl-sn-glycerol 3-phosphate"
MET M_1oh_c	"Primary alcohol"
MET M_1p2cbxl_c	"1-pyrroline-2-carboxylate"
MET M_1p3h5c_c	"L-1-Pyrroline-3-hydroxy-5-carboxylate"
MET M_1p4h2cbxl_c	"1-Pyrroline-4-hydroxy-2-carboxylate"
MET M_1pipdn2c_c	"1-piperideine-2-carboxylate"
MET M_1pyr5c_c	"1-Pyrroline-5-carboxylate"
MET M_1tdec7eg3p_c	"1-tetradec-7-enoyl-sn-glycerol 3-phosphate"
MET M_1tdecg3p_c	"1-tetradecanoyl-sn-glycerol 3-phosphate"
MET M_23ddhb_c	"2,3-Dihydro-2,3-dihydroxybenzoate"
MET M_23dhdp_c	"2,3-Dihydrodipicolinate"
MET M_23dhmb_c	"(R)-2,3-Dihydroxy-3-methylbutanoate"
MET M_23dhmp_c	"(R)-2,3-Dihydroxy-3-methylpentanoate"
MET M_23dmthmlet_c	"2,3-Dimethylmaleate"
MET M_23dpg_c	"2,3-bisphosphonato-D-glycerate(5-)"
MET M_24dchlphe_c	"2,4-Dichlorophenol"
MET M_24dhacphn_c	"2,4-Dihydroxyacetophenone"
MET M_24dhhed_c	"2,4-Dihydroxyhept-2-enedioate"
MET M_24mcartnl_c	"24-Methylenecycloartanol"
MET M_25aics_c	"(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate"
MET M_25d5o2a_c	"Muconolactone"
MET M_25dahxnt_c	"2,5-Diaminohexanoate"
MET M_25dhpp_c	"2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine"
MET M_25dop_c	"2,5-Dioxopentanoate"
MET M_25drapp_c	"2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5-phosphate"
MET M_26dap_LL_c	"LL-2,6-Diaminoheptanedioate"
MET M_26dap_M_c	"meso-2,6-Diaminoheptanedioate"
MET M_2a5faprap_c	"2-Amino-5-formylamino-6-(5-phosphoribosylamino)pyrimidin-4(3H)-one"
MET M_2aasng3p_c	"2-Acetyl-1-alkyl-sn-glycero-3-phosphate"
MET M_2agpe120_c	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0)"
MET M_2agpe140_c	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0)"
MET M_2agpe141_c	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1)"
MET M_2agpe160_c	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0)"
MET M_2agpe161_c	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1)"
MET M_2agpe180_c	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0)"
MET M_2agpe181_c	"2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1)"
MET M_2agpg120_c	"2-Acyl-sn-glycero-3-phosphoglycerol (n-C12:0)"
